instance,k,n,avg_degree,sparsity,is_connected,feasible,gap,success,n_seeds,success_std
bcl380,2,380,4.0,1.055408970976253,True,False,1295.8050586057986,0.0,10,0.0
dkg813,2,813,3.995079950799508,0.49200492004920005,True,False,2413.0283450222987,0.0,10,0.0
gr666,2,666,3.9939939939939944,0.6006006006006,True,False,1437.279122608014,0.0,10,0.0
lim963,2,963,3.993769470404984,0.415152751601349,True,False,2146.7300107565434,0.0,10,0.0
pa561,2,561,3.9821746880570412,0.7111026228673281,True,False,1117.0394498733262,0.0,10,0.0
pbk411,2,411,3.985401459854014,0.9720491365497591,True,False,1348.1384959046907,0.0,10,0.0
pbl395,2,395,3.989873417721519,1.012658227848101,True,False,1346.9945355191253,0.0,10,0.0
pbm436,2,436,3.981651376146789,0.9153221554360431,True,False,1368.2536382536382,0.0,10,0.0
pbn423,2,423,3.995271867612293,0.946746888059785,True,False,1456.989010989011,0.0,10,0.0
pcb442,2,442,3.972850678733031,0.9008731697807321,True,False,1242.1979991334829,0.0,10,0.0
pka379,2,379,3.989445910290237,1.055408970976253,True,False,2162.6841845596527,0.0,10,0.0
rbu737,2,737,3.994572591587517,0.542740841248303,True,False,2160.528631331545,0.0,10,0.0
rbx711,2,711,3.985935302390998,0.5613993383649291,True,False,1675.5634337869633,0.0,10,0.0
xql662,2,662,3.987915407854985,0.6033154928676221,True,False,1764.2778697355739,0.0,10,0.0
bcl380,3,380,5.9789473684210535,1.5775586724066102,True,False,1020.1727328809377,0.0,10,0.0
dkg813,3,813,5.985239852398524,0.737098503989966,True,False,1703.3884104871493,0.0,10,0.0
gr666,3,666,5.987987987987988,0.9004493215019531,True,False,1155.8684452861592,0.0,10,0.0
lim963,3,963,5.991692627206646,0.6228370714352021,True,False,1648.4080315525284,0.0,10,0.0
pa561,3,561,5.9928698752228176,1.070155334861217,True,False,884.799131378936,0.0,10,0.0
pbk411,3,411,5.965936739659368,1.455106521868138,True,False,1061.3551749813848,0.0,10,0.0
pbl395,3,395,5.984810126582278,1.5189873417721511,True,False,1033.2552693208431,0.0,10,0.0
pbm436,3,436,5.972477064220183,1.372983233154065,True,False,1015.2460152460151,0.0,10,0.0
pbn423,3,423,5.981087470449172,1.417319305793642,True,False,1102.7838827838827,0.0,10,0.0
pcb442,3,442,5.986425339366516,1.357466063348416,True,False,964.8981842530227,0.0,10,0.0
pka379,3,379,5.9841688654353575,1.58311345646438,True,False,1525.4880612044904,0.0,10,0.0
rbu737,3,737,5.986431478968792,0.813373842251194,True,False,1478.2519341757109,0.0,10,0.0
rbx711,3,711,5.988748241912799,0.8434856678750421,True,False,1329.9571273567879,0.0,10,0.0
xql662,3,662,5.990936555891238,0.906344410876133,True,False,1393.9343164652018,0.0,10,0.0
bcl380,4,380,7.9526315789473685,2.098319677822525,True,False,790.5243676742751,0.0,10,0.0
dkg813,4,813,7.977859778597786,0.982495046625343,True,False,1340.7696201923457,0.0,10,0.0
gr666,4,666,7.96996996996997,1.198491724807514,True,False,973.1571224491072,0.0,10,0.0
lim963,4,963,7.983385254413291,0.8298737270699881,True,False,1389.6593761204736,0.0,10,0.0
pa561,4,561,7.967914438502675,1.422841864018334,True,False,785.7039449873326,0.0,10,0.0
pbk411,4,411,7.961070559610706,1.9417245267343182,True,False,913.849590469099,0.0,10,0.0
pbl395,4,395,7.964556962025316,2.021461157874446,True,False,844.9882903981264,0.0,10,0.0
pbm436,4,436,7.972477064220183,1.832753348096594,True,False,852.002772002772,0.0,10,0.0
pbn423,4,423,7.952718676122932,1.884530491972258,True,False,908.8644688644688,0.0,10,0.0
pcb442,4,442,7.963800904977376,1.8058505453463432,True,False,821.5880893300248,0.0,10,0.0
pka379,4,379,7.95778364116095,2.105233767502897,True,False,1179.2706622601595,0.0,10,0.0
rbu737,4,737,7.975576662143826,1.083638133443454,True,False,1212.5366789725904,0.0,10,0.0
rbx711,4,711,7.974683544303797,1.1231948653949,True,False,1078.5417430741477,0.0,10,0.0
xql662,4,662,7.972809667673716,1.206173928543678,True,False,1108.6404375194027,0.0,10,0.0
bcl380,5,380,9.921052631578947,2.617691987223996,True,False,735.1696483652067,0.0,10,0.0
dkg813,5,813,9.968019680196802,1.2275886305661081,True,False,1130.2951181928831,0.0,10,0.0
gr666,5,666,9.963963963963964,1.498340445708866,True,False,788.4070210505324,0.0,10,0.0
lim963,5,963,9.975077881619939,1.036910382704775,True,False,1267.1459304410182,0.0,10,0.0
pa561,5,561,9.964349376114082,1.7793481028775142,True,False,632.5045240680419,0.0,10,0.0
pbk411,5,411,9.907542579075425,2.416473799774494,True,False,729.1139240506329,0.0,10,0.0
pbl395,5,395,9.924050632911392,2.518794576881064,True,False,714.2076502732241,0.0,10,0.0
pbm436,5,436,9.972477064220184,2.292523463039122,True,False,750.1593901593902,0.0,10,0.0
pbn423,5,423,9.947990543735225,2.357343730742944,True,False,726.6666666666667,0.0,10,0.0
pcb442,5,442,9.959276018099548,2.258339233129149,True,False,689.7554058844381,0.0,10,0.0
pka379,5,379,9.931398416886543,2.627354078541414,True,False,900.4354466995126,0.0,10,0.0
rbu737,5,737,9.959294436906378,1.353165005014453,True,False,1053.1153724462904,0.0,10,0.0
rbx711,5,711,9.952180028129396,1.401715496919633,True,False,980.3967946707617,0.0,10,0.0
xql662,5,662,9.969788519637461,1.508288732169056,True,False,930.6301045185035,0.0,10,0.0
bcl380,6,380,11.91578947368421,3.144007776697681,True,False,599.0746452806909,0.0,10,0.0
dkg813,6,813,11.955719557195572,1.4723792558122621,True,False,962.2656037368754,0.0,10,0.0
gr666,6,666,11.972972972972974,1.800447063604958,True,False,744.8046747327417,0.0,10,0.0
lim963,6,963,11.968847352024921,1.244162926405917,True,False,1069.2076012907853,0.0,10,0.0
pa561,6,561,11.918003565062389,2.128214922332569,True,False,602.3525153818312,0.0,10,0.0
pbk411,6,411,11.91727493917275,2.906652424188475,True,False,636.7535368577812,0.0,10,0.0
pbl395,6,395,11.89873417721519,3.019983293709439,True,False,623.7704918032787,0.0,10,0.0
pbm436,6,436,11.926605504587156,2.741748391859116,True,False,646.139986139986,0.0,10,0.0
pbn423,6,423,11.92434988179669,2.825675327439974,True,False,664.9230769230771,0.0,10,0.0
pcb442,6,442,11.914027149321267,2.701593457895979,True,False,628.2346685572492,0.0,10,0.0
pka379,6,379,11.883905013192612,3.14389021513032,True,False,781.0418482999128,0.0,10,0.0
rbu737,6,737,11.945725915875169,1.623060586396083,True,False,926.8624606983391,0.0,10,0.0
rbx711,6,711,11.940928270042194,1.681820883104534,True,False,852.0637646500242,0.0,10,0.0
xql662,6,662,11.954682779456194,1.808575307028168,True,False,820.0846932538109,0.0,10,0.0
bcl380,7,380,13.8,3.641160949868074,True,False,577.3226403454657,0.0,10,0.0
dkg813,7,813,13.92619926199262,1.715049170196135,True,False,898.7809803497051,0.0,10,0.0
gr666,7,666,13.924924924924925,2.093973672921041,True,False,682.7471306214787,0.0,10,0.0
lim963,7,963,13.960539979231568,1.451199582040703,True,False,998.2323413409824,0.0,10,0.0
pa561,7,561,13.918003565062389,2.485357779475426,True,False,532.6818675352877,0.0,10,0.0
pbk411,7,411,13.854014598540147,3.37902795086345,True,False,587.8778853313477,0.0,10,0.0
pbl395,7,395,13.90886075949367,3.530167705455246,True,False,510.46057767369246,0.0,10,0.0
pbm436,7,436,13.899082568807339,3.195191395128124,True,False,585.3776853776853,0.0,10,0.0
pbn423,7,423,13.877068557919621,3.288404871544934,True,False,600.1318681318681,0.0,10,0.0
pcb442,7,442,13.864253393665159,3.143821631216589,True,False,564.2384497223209,0.0,10,0.0
pka379,7,379,13.87335092348285,3.6701986570060443,True,False,671.0523407878997,0.0,10,0.0
rbu737,7,737,13.945725915875169,1.8947997168308652,True,False,781.0609224184625,0.0,10,0.0
rbx711,7,711,13.918424753867791,1.960341514629266,True,False,808.7554656775279,0.0,10,0.0
xql662,7,662,13.906344410876132,2.10383425278005,True,False,753.6938003424141,0.0,10,0.0
bcl380,8,380,15.842105263157896,4.17997500347174,True,False,524.9537322640344,0.0,10,0.0
dkg813,8,813,15.928659286592866,1.961657547609958,True,False,821.4491446727682,0.0,10,0.0
gr666,8,666,15.903903903903904,2.391564496827654,True,False,613.27675615517,0.0,10,0.0
lim963,8,963,15.929387331256489,1.655861468945581,True,False,929.0390821082826,0.0,10,0.0
pa561,8,561,15.871657754010695,2.834224598930481,True,False,516.0694896851248,0.0,10,0.0
pbk411,8,411,15.888077858880779,3.875140941190433,True,False,552.3752792256143,0.0,10,0.0
pbl395,8,395,15.837974683544303,4.019790528818351,True,False,532.552693208431,0.0,10,0.0
pbm436,8,436,15.821100917431192,3.637034693662343,True,False,565.1420651420651,0.0,10,0.0
pbn423,8,423,15.8628841607565,3.758977289278792,True,False,563.6117216117216,0.0,10,0.0
pcb442,8,442,15.895927601809955,3.60451873056915,True,False,inf,0.0,10,0.0
pka379,8,379,15.846965699208443,4.192318968044562,True,False,683.3984847563243,0.0,10,0.0
rbu737,8,737,15.89145183175034,2.159164651053035,True,False,742.899010219478,0.0,10,0.0
rbx711,8,711,15.929676511954993,2.243616410134505,True,False,724.6326070824779,0.0,10,0.0
xql662,8,662,15.909365558912386,2.40686317078856,True,False,677.1990807087313,0.0,10,0.0
bcl380,9,380,17.81578947368421,4.700736008887654,True,False,487.84700801974094,0.0,10,0.0
dkg813,9,813,17.90651906519065,2.205236338077666,True,False,777.1661940591987,0.0,10,0.0
gr666,9,666,17.88888888888889,2.690058479532164,True,False,545.7797302297902,0.0,10,0.0
lim963,9,963,17.892004153686397,1.859875691651392,True,False,856.6869845822876,0.0,10,0.0
pa561,9,561,17.86096256684492,3.189457601222307,True,False,457.0032573289902,0.0,10,0.0
pbk411,9,411,17.819951338199512,4.346329594682808,True,False,514.5941921072226,0.0,10,0.0
pbl395,9,395,17.751898734177214,4.5055580543597,True,False,477.5956284153006,0.0,10,0.0
pbm436,9,436,17.86697247706422,4.107349994727407,True,False,504.5530145530145,0.0,10,0.0
pbn423,9,423,17.810874704491727,4.220586422865337,True,False,480.0,0.0,10,0.0
pcb442,9,442,17.823529411764707,4.041616646658664,True,False,476.37756508724243,0.0,10,0.0
pka379,9,379,17.810026385224276,4.711647191858273,True,False,582.8280718828355,0.0,10,0.0
rbu737,9,737,17.902306648575305,2.43237862073034,True,False,706.1220165897993,0.0,10,0.0
rbx711,9,711,17.87904360056259,2.518175155008815,True,False,663.3321324420373,0.0,10,0.0
xql662,9,662,17.876132930513595,2.704407402498274,True,False,659.9350618210465,0.0,10,0.0
bcl380,10,380,19.731578947368423,5.206221358144702,True,False,437.1992597162245,0.0,10,0.0
dkg813,10,813,19.86961869618696,2.446997376377704,True,False,730.5326631379554,0.0,10,0.0
gr666,10,666,19.864864864864863,2.987197724039829,True,False,539.7684366623038,0.0,10,0.0
lim963,10,963,19.883696780893043,2.066912347286179,True,False,779.0283255647184,0.0,10,0.0
pa561,10,561,19.807486631016044,3.537051184110008,True,False,444.1621425986247,0.0,10,0.0
pbk411,10,411,19.70316301703163,4.805649516349178,True,False,482.7997021593448,0.0,10,0.0
pbl395,10,395,19.741772151898733,5.010602069009831,True,False,433.95784543325516,0.0,10,0.0
pbm436,10,436,19.74770642201835,4.539702625751345,True,False,478.6139986139986,0.0,10,0.0
pbn423,10,423,19.754137115839242,4.68107514593347,True,False,468.6007326007326,0.0,10,0.0
pcb442,10,442,19.832579185520363,4.497183488780127,True,False,430.10713301035884,0.0,10,0.0
pka379,10,379,19.725593667546175,5.218411023160364,True,False,501.0207957394754,0.0,10,0.0
rbu737,10,737,19.87788331071913,2.7007993628694473,True,False,634.6619761514582,0.0,10,0.0
rbx711,10,711,19.862165963431785,2.797488163863631,True,False,622.1677437096108,0.0,10,0.0
xql662,10,662,19.854984894259818,3.003779862974254,True,False,620.5619571976325,0.0,10,0.0
bcl380,12,380,23.678947368421053,6.247743368976531,True,False,379.5188155459592,0.0,10,0.0
dkg813,12,813,23.83517835178352,2.935366792091566,True,False,633.886613660802,0.0,10,0.0
gr666,12,666,23.76876876876877,3.574250942671995,True,False,475.1195986583597,0.0,10,0.0
lim963,12,963,23.865005192107997,2.4807697704893963,True,False,718.1211903908211,0.0,10,0.0
pa561,12,561,23.768270944741534,4.244334097275273,True,False,405.75461454940285,0.0,10,0.0
pbk411,12,411,23.63990267639903,5.765829921072934,True,False,416.36634400595676,0.0,10,0.0
pbl395,12,395,23.650632911392407,6.00269870847523,True,False,396.97892271662766,0.0,10,0.0
pbm436,12,436,23.65137614678899,5.437097964779078,True,False,426.5696465696466,0.0,10,0.0
pbn423,12,423,23.69739952718676,5.615497518290702,True,False,425.73626373626377,0.0,10,0.0
pcb442,12,442,23.660633484162897,5.365223012281835,True,False,385.2987514277837,0.0,10,0.0
pka379,12,379,23.62532981530343,6.250087252725775,True,False,391.06881450092254,0.0,10,0.0
rbu737,12,737,23.791044776119403,3.2324789097988322,True,False,566.2644186447208,0.0,10,0.0
rbx711,12,711,23.766526019690577,3.347398030942335,True,False,549.9455036353738,0.0,10,0.0
xql662,12,662,23.761329305135952,3.594754811669584,True,False,546.3226875356416,0.0,10,0.0
bcl380,15,380,29.436842105263157,7.766976808776558,True,False,329.0931523750772,0.0,10,0.0
dkg813,15,813,29.746617466174662,3.663376535243184,True,False,529.6949423530216,0.0,10,0.0
gr666,15,666,29.5975975975976,4.4507665560297145,True,False,378.55943761051424,0.0,10,0.0
lim963,15,963,29.798546209761163,3.097561976066649,True,False,607.8845464324129,0.0,10,0.0
pa561,15,561,29.629233511586452,5.290934555640438,True,False,334.6796959826276,0.0,10,0.0
pbk411,15,411,29.45498783454988,7.184143374280458,True,False,358.89798957557707,0.0,10,0.0
pbl395,15,395,29.49873417721519,7.486988369851572,True,False,338.40749414519905,0.0,10,0.0
pbm436,15,436,29.44954128440367,6.77000949066751,True,False,375.7380457380458,0.0,10,0.0
pbn423,15,423,29.54609929078014,7.001445329568753,True,False,349.6703296703297,0.0,10,0.0
pcb442,15,442,29.547511312217196,6.700115943813422,True,False,334.4361731458506,0.0,10,0.0
pka379,15,379,29.313984168865435,7.755022266895619,True,False,321.5701560525266,0.0,10,0.0
rbu737,15,737,29.706919945725915,4.03626629697363,True,False,500.9414249921174,0.0,10,0.0
rbx711,15,711,29.656821378340364,4.177017095540896,True,False,461.0502051865939,0.0,10,0.0
xql662,15,662,29.68882175226586,4.491501021522823,True,False,459.5650242065649,0.0,10,0.0
bcl380,17,380,33.28947368421053,8.783502291348423,True,False,inf,0.0,10,0.0
dkg813,17,813,33.672816728167284,4.146898611843261,True,False,502.0911691495283,0.0,10,0.0
gr666,17,666,33.55855855855856,5.046399783241888,True,False,363.51778486750237,0.0,10,0.0
lim963,17,963,33.69885773624091,3.502999764682007,True,False,556.5579060595195,0.0,10,0.0
pa561,17,561,33.48306595365419,5.979118920295392,True,False,307.7452044878755,0.0,10,0.0
pbk411,17,411,33.367396593673966,8.138389413091211,True,False,345.87490692479525,0.0,10,0.0
pbl395,17,395,33.372151898734174,8.470089314399537,True,False,289.9843871975019,0.0,10,0.0
pbm436,17,436,33.31192660550459,7.657914162184963,True,False,340.8870408870408,0.0,10,0.0
pbn423,17,423,33.347517730496456,7.902255386373567,True,False,310.52014652014657,0.0,10,0.0
pcb442,17,442,33.36199095022624,7.565077312976473,True,False,299.02063885934854,0.0,10,0.0
pka379,17,379,33.224274406332455,8.789490583685835,True,False,305.3437796386034,0.0,10,0.0
rbu737,17,737,33.57123473541384,4.561309067311662,True,False,445.9976867944418,0.0,10,0.0
rbx711,17,711,33.61744022503516,4.734850735920445,True,False,467.4048893578477,0.0,10,0.0
xql662,17,662,33.60725075528701,5.084304198984419,True,False,436.23076235430074,0.0,10,0.0
bcl380,20,380,38.873684210526314,10.256908762671852,True,False,289.0067859346083,0.0,10,0.0
dkg813,20,813,39.56211562115621,4.872181726743376,True,False,439.503646435903,0.0,10,0.0
gr666,20,666,39.45945945945946,5.933753302174355,True,False,327.8342434696386,0.0,10,0.0
lim963,20,963,39.611630321910695,4.117633089595706,True,False,515.1057726783793,0.0,10,0.0
pa561,20,561,39.32620320855615,7.022536287242169,True,False,293.41295693087216,0.0,10,0.0
pbk411,20,411,39.02676399026764,9.518722924455522,True,False,318.0565897244974,0.0,10,0.0
pbl395,20,395,39.00253164556962,9.899119706997366,True,False,268.1264637002342,0.0,10,0.0
pbm436,20,436,39.06880733944954,8.981335020563112,True,False,314.2134442134442,0.0,10,0.0
pbn423,20,423,39.08747044917258,9.262433755728098,True,False,290.38827838827837,0.0,10,0.0
pcb442,20,442,39.067873303167424,8.858928186659279,True,False,266.2294694552758,0.0,10,0.0
pka379,20,379,38.854881266490764,10.27906911811925,True,False,251.3659833877388,0.0,10,0.0
rbu737,20,737,39.45997286295794,5.361409356380155,True,False,396.5453101003608,0.0,10,0.0
rbx711,20,711,39.38115330520394,5.546641310592104,True,False,403.3186146905259,0.0,10,0.0
xql662,20,662,39.3595166163142,5.954541091726808,True,False,395.4852978456321,0.0,10,0.0
bcl380,22,380,42.805263157894736,11.294264685460352,True,False,275.4040715607649,0.0,10,0.0
dkg813,22,813,43.45141451414514,5.351159422924279,True,False,403.76970935251063,0.0,10,0.0
gr666,22,666,43.26426426426426,6.505904400641242,True,False,310.97408524673114,0.0,10,0.0
lim963,22,963,43.505711318795434,4.522423214011999,True,False,479.2111868053065,0.0,10,0.0
pa561,22,561,43.09447415329768,7.6954418130888715,True,False,262.5913861744481,0.0,10,0.0
pbk411,22,411,43.017031630170315,10.491958934187883,True,False,268.1682799702159,0.0,10,0.0
pbl395,22,395,42.67341772151899,10.830816680588576,True,False,249.73458235753324,0.0,10,0.0
pbm436,22,436,42.92201834862385,9.867130654856059,True,False,269.5079695079695,0.0,10,0.0
pbn423,22,423,42.874704491725765,10.159882580977671,True,False,275.8461538461539,0.0,10,0.0
pcb442,22,442,42.87782805429864,9.722863504376111,True,False,231.9114577179093,0.0,10,0.0
pka379,22,379,42.696569920844325,11.295388867948235,True,False,224.6773179781432,0.0,10,0.0
rbu737,22,737,43.37584803256445,5.8934576131201695,True,False,374.8212587484347,0.0,10,0.0
rbx711,22,711,43.30239099859353,6.09892830966106,True,False,362.13175816768296,0.0,10,0.0
xql662,22,662,43.21148036253776,6.537289010973943,True,False,394.0930382579155,0.0,10,0.0
bcl380,25,380,48.27894736842105,12.73850854048049,True,False,237.16224552745217,0.0,10,0.0
dkg813,25,813,49.27183271832718,6.067959694375268,True,False,365.37886185340443,0.0,10,0.0
gr666,25,666,49.05705705705706,7.377001061211587,True,False,279.1392665200801,0.0,10,0.0
lim963,25,963,49.360332294911736,5.131011673067748,True,False,436.6941556113302,0.0,10,0.0
pa561,25,561,49.04812834224599,8.758594346829641,True,False,inf,0.0,10,0.0
pbk411,25,411,48.28710462287105,11.777342590944158,True,False,237.36411020104242,0.0,10,0.0
pbl395,25,395,48.34936708860759,12.271412966651674,True,False,239.72677595628414,0.0,10,0.0
pbm436,25,436,48.58715596330275,11.169461140989139,True,False,240.8177408177408,0.0,10,0.0
pbn423,25,423,48.43971631205674,11.478605761150886,True,False,260.6080586080587,0.0,10,0.0
pcb442,25,442,48.37556561085973,10.969516011532818,True,False,211.4163614163614,0.0,10,0.0
pka379,25,379,48.221635883905016,12.7570465301336,True,False,201.9814300421952,0.0,10,0.0
rbu737,25,737,49.12347354138399,6.674384992035868,True,False,331.427481988236,0.0,10,0.0
rbx711,25,711,49.10829817158931,6.916661714308353,True,False,342.7145879969576,0.0,10,0.0
xql662,25,662,49.105740181268885,7.429007591719952,True,False,326.3496914926441,0.0,10,0.0
